Date,BAC,F,GM,GS,IBM,JPM,T,XOM
2019-04-11,25.069992065429688,6.951906204223633,36.61656188964844,175.68032836914062,104.46122741699219,89.54678344726562,15.639520645141602,61.49374771118164
2019-04-12,26.01862907409668,6.996327877044678,36.970333099365234,180.0197296142578,104.8753662109375,93.74470520019531,15.639520645141602,60.72086715698242
2019-04-15,25.734037399291992,6.90748405456543,36.83999252319336,173.15121459960938,104.54841613769531,92.67414093017578,15.552099227905273,60.51824188232422
2019-04-16,25.768531799316406,6.929694652557373,36.923789978027344,174.82284545898438,105.4493408203125,93.6519775390625,15.663810729980469,60.93094253540039
2019-04-17,25.89789390563965,7.033345699310303,37.23102569580078,180.07167053222656,101.06831359863281,96.34940338134766,15.518097877502441,61.103546142578125
2019-04-18,25.89789390563965,7.0703630447387695,37.51962661743164,178.34808349609375,101.95469665527344,95.64130401611328,15.556954383850098,60.87842559814453
2019-04-22,25.915143966674805,7.033345699310303,36.77482986450195,177.21337890625,100.90850067138672,95.75933074951172,15.5812349319458,62.20661163330078
2019-04-23,25.932390213012695,7.146180152893066,37.08206558227539,176.81500244140625,102.03459930419922,95.87737274169922,15.59095573425293,62.5667839050293
2019-04-24,25.889270782470703,7.198835372924805,36.97964859008789,173.69680786132812,101.6786117553711,95.71720123291016,14.954686164855957,61.35116958618164
2019-04-25,25.94101905822754,7.070955753326416,36.41173553466797,174.44174194335938,100.71958923339844,95.76776123046875,14.736123085021973,61.69635772705078
2019-04-26,26.17386245727539,7.83070707321167,36.94240188598633,175.89686584472656,101.30810546875,96.49271392822266,14.901256561279297,60.398189544677734
2019-04-29,26.536073684692383,7.763008117675781,37.249637603759766,179.22286987304688,101.02473449707031,97.88358306884766,14.998397827148438,60.00798797607422
2019-04-30,26.372215270996094,7.86079740524292,36.26277542114258,178.35671997070312,101.91109466552734,97.8245849609375,15.037256240844727,60.2406005859375
2019-05-01,26.09624671936035,7.747962951660156,36.076568603515625,177.32601928710938,102.12178039550781,97.07434844970703,14.954686164855957,59.032501220703125
2019-05-02,26.303220748901367,7.778050899505615,35.61106491088867,177.5511932373047,101.41705322265625,97.28508758544922,14.872118949890137,57.996971130371094
2019-05-03,26.48432731628418,7.83070707321167,36.12312316894531,179.7425994873047,101.89656066894531,97.88358306884766,14.910974502563477,58.13203430175781
2019-05-06,26.277355194091797,7.800619125366211,35.46210861206055,178.79844665527344,101.99102020263672,97.01534271240234,14.857550621032715,57.87689971923828
2019-05-07,25.80303382873535,7.808140754699707,35.87175750732422,175.5071258544922,100.00029754638672,95.43059539794922,14.828402519226074,57.569252014160156
